category,optional_description,index,description,criticality,comment,pillar,unique_name
CONN,,0,The CVA6V should be able to access the full memory map with external requests routed to the NOC_LT_M port,bronze,,Formal Connectivity,AICORE_CONN_0
CONN,,1,The NOC_LT_S port should be able to access the full internal AIC memory map,bronze,,Formal Connectivity,AICORE_CONN_1
CONN,,2,The LP_DMA should be able to access the internal SPM and L1,bronze,,Formal Connectivity,AICORE_CONN_2
CONN,,3,"The LP_DMA should be able to access the external SYS_SPM, L2, and DDR via the NOC_LT_M port",bronze,,Formal Connectivity,AICORE_CONN_3
CONN,,4,The HP_DMA_1 should be able to access the external L2 and DDR via the NOC_HT_M port,bronze,,Formal Connectivity,AICORE_CONN_4
CONN,,5,The HP_DMA_2 should be able to access the internal L1 and SPM,bronze,,Formal Connectivity,AICORE_CONN_5
CONN,,6,"The ACD should be able to access the SPM, HP_DMA_1/2, and internal datapath blocks (e.g. MVM, IAU, DPU, etc.)",bronze,,Formal Connectivity,AICORE_CONN_6
CONN,,7,The AIC should be connected to the top-level token network,bronze,,Formal Connectivity,AICORE_CONN_7
CONN,,8,The AIC should be connected to the top-level observation network,bronze,,Formal Connectivity,AICORE_CONN_8
CONN,,9,The AIC should be connected to the top-level throttle network,bronze,,Formal Connectivity,AICORE_CONN_9
CONN,,10,"The CVA6V sideband signals for interrupts, timer, and debug should be properly connected",bronze,,Formal Connectivity,AICORE_CONN_10
CONN,,11,The sideband signals for the remote thermal sensor probe should be properly connected,bronze,,Formal Connectivity,AICORE_CONN_11
CLK,,0,The AIC should be able to run at 1.2 GHz fast clock and 20MHz reference clock,gold,,Modified Drv-FIAT,AICORE_CLK_0
CLK,,1,The AIC should be able to run at a slower 20 MHz fast clock (power optimization),gold,,Modified Drv-FIAT,AICORE_CLK_1
CLK,,2,The fast clock should be divideable via AO CSR for power optimizations,gold,,Modified Drv-FIAT,AICORE_CLK_2
RST,,0,The AIC should be resettable via the global reset according to the partition reset strategy,bronze,,UVM,AICORE_RST_0
RST,,1,The AIC should be resettable via AO CSR according to the partition reset strategy,bronze,,UVM,AICORE_RST_1
FEAT,ATU,0,The LP_DMA should support address translation and blocking of address regions via ATU,silver,,UVM,AICORE_FEAT_ATU_0
FEAT,ATU,1,The HP_DMA_1/2 should support address translation and blocking of address regions via (internal) ATUs,silver,,UVM,AICORE_FEAT_ATU_1
