Implemented,Source Instance,Source Port,Destination Instance,Destination Port,Type,Interface Type,Enable Connection
x,u_aipu.u_ai_core_p_0,noc_ht_axi_m,u_aipu.u_noc_top,aic_0_init_ht_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_ai_core_p_0,noc_lt_axi_m,u_aipu.u_noc_top,aic_0_init_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_0_targ_lt_axi_m,u_aipu.u_ai_core_p_0,noc_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_0_targ_syscfg_apb_m,u_aipu.u_ai_core_p_0,cfg_apb4_s,Protocol,APB4,N/A
x,u_aipu.u_ai_core_p_0,tok_prod_ocpl_m,u_aipu.u_noc_top,aic_0_init_tok_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_noc_top,aic_0_targ_tok_ocpl_m,u_aipu.u_ai_core_p_0,tok_cons_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_ai_core_p_0,o_noc_async_idle_req,u_aipu.u_noc_top,i_aic_0_pwr_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_0_pwr_idle_ack,u_aipu.u_ai_core_p_0,i_noc_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_0_pwr_idle_val,u_aipu.u_ai_core_p_0,i_noc_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_0,o_noc_ocpl_tok_async_idle_req,u_aipu.u_noc_top,i_aic_0_pwr_tok_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_0_pwr_tok_idle_ack,u_aipu.u_ai_core_p_0,i_noc_ocpl_tok_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_0_pwr_tok_idle_val,u_aipu.u_ai_core_p_0,i_noc_ocpl_tok_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_0,o_noc_clken,u_aipu.u_noc_top,i_aic_0_clken,,,N/A
x,u_aipu.u_ai_core_p_0,o_noc_rst_n,u_aipu.u_noc_top,i_aic_0_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_fast_clk,u_aipu.u_ai_core_p_0,i_clk,,,N/A
x,u_aipu.u_soc_mgmt_p,o_ao_rst_n,u_aipu.u_ai_core_p_0,i_ao_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_global_rst_n,u_aipu.u_ai_core_p_0,i_global_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_global_sync,u_aipu.u_ai_core_p_0,i_inter_core_sync,,,N/A
x,u_aipu.u_soc_mgmt_p,io_pvt_ibias_ts[0],u_aipu.u_ai_core_p_0,io_ibias_ts,,,N/A
x,u_aipu.u_soc_mgmt_p,io_pvt_vsense_ts[0],u_aipu.u_ai_core_p_0,io_vsense_ts,,,N/A
x,u_aipu.u_soc_mgmt_p,o_debugint[6],u_aipu.u_ai_core_p_0,i_debug_int_async,,,N/A
x,u_aipu.u_soc_mgmt_p,o_resethaltreq[6],u_aipu.u_ai_core_p_0,i_resethaltreq_async,,,N/A
x,u_aipu.u_ai_core_p_0,o_hart_unavail_async,u_aipu.u_soc_mgmt_p,i_hart_unavail[6],,,N/A
x,u_aipu.u_ai_core_p_0,o_hart_under_reset_async,u_aipu.u_soc_mgmt_p,i_hart_under_reset[6],,,N/A
x,u_aipu.u_apu_p,o_aic_msip[0],u_aipu.u_ai_core_p_0,i_msip_async,,,N/A
x,u_aipu.u_apu_p,o_aic_mtip[0],u_aipu.u_ai_core_p_0,i_mtip_async,,,N/A
x,u_aipu.u_ai_core_p_0,o_stoptime_async,u_aipu.u_apu_p,i_aic_stoptime[0],,,N/A
x,,1,u_aipu.u_ai_core_p_0,i_cid,,,N/A
,,,,,,,
x,u_aipu.u_ai_core_p_1,noc_ht_axi_m,u_aipu.u_noc_top,aic_1_init_ht_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_ai_core_p_1,noc_lt_axi_m,u_aipu.u_noc_top,aic_1_init_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_1_targ_lt_axi_m,u_aipu.u_ai_core_p_1,noc_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_1_targ_syscfg_apb_m,u_aipu.u_ai_core_p_1,cfg_apb4_s,Protocol,APB4,N/A
x,u_aipu.u_ai_core_p_1,tok_prod_ocpl_m,u_aipu.u_noc_top,aic_1_init_tok_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_noc_top,aic_1_targ_tok_ocpl_m,u_aipu.u_ai_core_p_1,tok_cons_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_ai_core_p_1,o_noc_async_idle_req,u_aipu.u_noc_top,i_aic_1_pwr_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_1_pwr_idle_ack,u_aipu.u_ai_core_p_1,i_noc_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_1_pwr_idle_val,u_aipu.u_ai_core_p_1,i_noc_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_1,o_noc_ocpl_tok_async_idle_req,u_aipu.u_noc_top,i_aic_1_pwr_tok_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_1_pwr_tok_idle_ack,u_aipu.u_ai_core_p_1,i_noc_ocpl_tok_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_1_pwr_tok_idle_val,u_aipu.u_ai_core_p_1,i_noc_ocpl_tok_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_1,o_noc_clken,u_aipu.u_noc_top,i_aic_1_clken,,,N/A
x,u_aipu.u_ai_core_p_1,o_noc_rst_n,u_aipu.u_noc_top,i_aic_1_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_fast_clk,u_aipu.u_ai_core_p_1,i_clk,,,N/A
x,u_aipu.u_soc_mgmt_p,o_ao_rst_n,u_aipu.u_ai_core_p_1,i_ao_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_global_rst_n,u_aipu.u_ai_core_p_1,i_global_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_global_sync,u_aipu.u_ai_core_p_1,i_inter_core_sync,,,N/A
x,u_aipu.u_soc_mgmt_p,io_pvt_ibias_ts[1],u_aipu.u_ai_core_p_1,io_ibias_ts,,,N/A
x,u_aipu.u_soc_mgmt_p,io_pvt_vsense_ts[1],u_aipu.u_ai_core_p_1,io_vsense_ts,,,N/A
x,u_aipu.u_soc_mgmt_p,o_debugint[7],u_aipu.u_ai_core_p_1,i_debug_int_async,,,N/A
x,u_aipu.u_soc_mgmt_p,o_resethaltreq[7],u_aipu.u_ai_core_p_1,i_resethaltreq_async,,,N/A
x,u_aipu.u_ai_core_p_1,o_hart_unavail_async,u_aipu.u_soc_mgmt_p,i_hart_unavail[7],,,N/A
x,u_aipu.u_ai_core_p_1,o_hart_under_reset_async,u_aipu.u_soc_mgmt_p,i_hart_under_reset[7],,,N/A
x,u_aipu.u_apu_p,o_aic_msip[1],u_aipu.u_ai_core_p_1,i_msip_async,,,N/A
x,u_aipu.u_apu_p,o_aic_mtip[1],u_aipu.u_ai_core_p_1,i_mtip_async,,,N/A
x,u_aipu.u_ai_core_p_1,o_stoptime_async,u_aipu.u_apu_p,i_aic_stoptime[1],,,N/A
x,,2,u_aipu.u_ai_core_p_1,i_cid,,,N/A
,,,,,,,
x,u_aipu.u_ai_core_p_2,noc_ht_axi_m,u_aipu.u_noc_top,aic_2_init_ht_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_ai_core_p_2,noc_lt_axi_m,u_aipu.u_noc_top,aic_2_init_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_2_targ_lt_axi_m,u_aipu.u_ai_core_p_2,noc_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_2_targ_syscfg_apb_m,u_aipu.u_ai_core_p_2,cfg_apb4_s,Protocol,APB4,N/A
x,u_aipu.u_ai_core_p_2,tok_prod_ocpl_m,u_aipu.u_noc_top,aic_2_init_tok_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_noc_top,aic_2_targ_tok_ocpl_m,u_aipu.u_ai_core_p_2,tok_cons_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_ai_core_p_2,o_noc_async_idle_req,u_aipu.u_noc_top,i_aic_2_pwr_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_2_pwr_idle_ack,u_aipu.u_ai_core_p_2,i_noc_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_2_pwr_idle_val,u_aipu.u_ai_core_p_2,i_noc_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_2,o_noc_ocpl_tok_async_idle_req,u_aipu.u_noc_top,i_aic_2_pwr_tok_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_2_pwr_tok_idle_ack,u_aipu.u_ai_core_p_2,i_noc_ocpl_tok_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_2_pwr_tok_idle_val,u_aipu.u_ai_core_p_2,i_noc_ocpl_tok_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_2,o_noc_clken,u_aipu.u_noc_top,i_aic_2_clken,,,N/A
x,u_aipu.u_ai_core_p_2,o_noc_rst_n,u_aipu.u_noc_top,i_aic_2_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_fast_clk,u_aipu.u_ai_core_p_2,i_clk,,,N/A
x,u_aipu.u_soc_mgmt_p,o_ao_rst_n,u_aipu.u_ai_core_p_2,i_ao_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_global_rst_n,u_aipu.u_ai_core_p_2,i_global_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_global_sync,u_aipu.u_ai_core_p_2,i_inter_core_sync,,,N/A
x,u_aipu.u_soc_mgmt_p,io_pvt_ibias_ts[2],u_aipu.u_ai_core_p_2,io_ibias_ts,,,N/A
x,u_aipu.u_soc_mgmt_p,io_pvt_vsense_ts[2],u_aipu.u_ai_core_p_2,io_vsense_ts,,,N/A
x,u_aipu.u_soc_mgmt_p,o_debugint[8],u_aipu.u_ai_core_p_2,i_debug_int_async,,,N/A
x,u_aipu.u_soc_mgmt_p,o_resethaltreq[8],u_aipu.u_ai_core_p_2,i_resethaltreq_async,,,N/A
x,u_aipu.u_ai_core_p_2,o_hart_unavail_async,u_aipu.u_soc_mgmt_p,i_hart_unavail[8],,,N/A
x,u_aipu.u_ai_core_p_2,o_hart_under_reset_async,u_aipu.u_soc_mgmt_p,i_hart_under_reset[8],,,N/A
x,u_aipu.u_apu_p,o_aic_msip[2],u_aipu.u_ai_core_p_2,i_msip_async,,,N/A
x,u_aipu.u_apu_p,o_aic_mtip[2],u_aipu.u_ai_core_p_2,i_mtip_async,,,N/A
x,u_aipu.u_ai_core_p_2,o_stoptime_async,u_aipu.u_apu_p,i_aic_stoptime[2],,,N/A
x,,3,u_aipu.u_ai_core_p_2,i_cid,,,N/A
,,,,,,,
x,u_aipu.u_ai_core_p_3,noc_ht_axi_m,u_aipu.u_noc_top,aic_3_init_ht_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_ai_core_p_3,noc_lt_axi_m,u_aipu.u_noc_top,aic_3_init_lt_axi_s,Protocol,AXI4,N/A
