Name,Type,Req_id,Priority,Description,Measure,Source,Coverpoints if applicable
Remove Software Datapath Control,UVM,DMC_CMDB_CLEANUP,High,Remove SWDP control related tests.,,{$module_name}_DMC_swdp_*test  {$module_name}_swdp_fifo_overflow_test   ifd_reg_cg odr_reg_cg,per instance: cp_swdp_fifo_count  [EMPTY ALMOST EMPTY ALMOST FULL FULL]
Unaligned Transfer VTRSP IRQ,UVM,DMC_UNALIGNED_VTRSP_ERROR,High,Generate Unaligned Transfer via AXI Stream. 64 Word Unaligned for INT8. 32 word Unaligned for FP16. !6 Word Unaligned for FP32.,Group,{$module_name}_DMC_cmdb_ifd_vtrsp_irq_test   odr_reg_cg,per instance: cp_ifd_vtrsp_irq [HAS_ERROR NO_ERROR]
VTRSP Not Present IRQ,UVM,DMC_VTRSP_NOT_PRESENT_ERROR,High,Enable VTRSP for IFDW instance that does not support it.,Group,{$module_name}_DMC_cmdb_ifd_vtrsp_access_error_test   odr_reg_cg,per instance: cp_ifd_vtrsp_access_error_irq [HAS_ERROR NO_ERROR]
VTRSP Enable,UVM + Python,DMC_VTRSP_ENABLE,High,Enable VTRSP for IFDW. The transpose function is checked against the Python model for all VTRSP modes.,Group,{$module_name}_DMC_cmdb_ifd_vtrsp_test   DMC_ag_cg,per instance: cp_ifd_vtrsp_mode [DISABLED INT8 FP16 FP32]
L1 AXI HP Slave Memory Access (moved from L1 plan),UVM,L1_AXI_HP_SLV_MEM_ACCESS,High,L1 Memory Access via HP AXI Slave port. Cover built-in AXI parameters from VIP aside form self-coded function coverage.,Group,{$module_name}_axi_rnd_test  {$module_name}_l1_mem_test l1_axi_slv_cg,per_instance:  cp_addr [L1_BANK0:L1_BANK15] cp_burst_len [1:64] cp_burst_size [AXI_BURST_SIZE_64_BYTE] cp_burst_type [FIXED INCR WRAP] cp_op [AXI_READ AXI_WRITE]
L1 External Access (moved from L1 plan),UVM,L1_EXTERNAL_ACCESS,High,IFD read from External and ODR write to External. This is executed by DMA reading/writing using an address outside this L1's address range.,Group,{$module_name}_ifd_odr_*_lc_*test   ifd_odr_ag_cg,per_instance:  cp_l1_external [AI_CORE_1 AI_CORE_2 AI_CORE_3 AI_CORE_4 L2]
L1 External Access Error Response (moved from L1 plan),UVM,L1_EXTERNAL_ACCESS_ERR_RESP,High,Verify by giving DECERR and SLVERR response to external access described in L1_EXTERNAL_ACCESS.,Group,{$module_name}_l1_axi_slverr_test {$module_name}_l1_axi_decerr_test   l1_lc_mmio_cg,per_instance:  cp_error [MMIO_ERROR NO_MMIO_ERROR]
Decompression + VTRSP,UVM,DMC_DECOMPRESSION_VTRSP,Low,Verify decompression + VTRSP flow. Ensure b2b decompression with VTRSP and combinations of toggling them ON and OFF in sequence of commands.,Group,{$module_name}_DMC_cmdb_decomp_vtrsp*_test   DMC_ag_cg,per instance: cp_decompression_vtrsp
Address Generator,UVM + Python,DMC_ADDR_GEN,Medium,RTL Design is consistent with Python Model. This is checked via DMC_addr_gen_ref_model which integrates ICDF python model for address generator intp the UVM testbench.,Group,{$module_name}_DMC_cmdb_*test   DMC_ag_cg,All IFD-ODR descriptor coverpoints per device instance.
MMIO Write and Read Access,UVM,DMC_MMIO_ACCESS,Medium,MMIO Access to read (IFD) or write (ODR) to and from the memory is implicitly verified by address and data scoreboards. MMIO RD is compared with data in memory (L1). MMIO WR is compared with the AXI Stream data.,Group,{$module_name}_DMC_cmdb_*test DMC_dpc_cg,All IFD-ODR descriptor coverpoints per device instance.
