Name	Type	Req_id	Description	Measure	Source	Coverpoints if applicable	Remarks	STATUS
AI_CORE_CON	UVM	AI_CORE__CONN__0	CVA6V Master can access full memory map (internal/external/other AI Cores), external requests are routed to correct NOC port	Group	ai_core_top_access_test, europa_mem_access_cg		Test for all core ids	
AI_CORE_CON	UVM	AI_CORE__CONN__0_1	Accesing the ilm dlm memory space  using noc master and ai core control master	test.percent_pass	ai_core_top_access_ilm_dlm_test			
AI_CORE_CSR	UVM	AI_CORE__CSR__0	AI core can identify its core ID	Group	ai_core_core_id_test,ai_core_core_id_cg		read the csr	
AI_CORE	ICDF and uvm	AI_CORE__DP__0	The IFD -> MVM -> IAU/DPU -> ODR path is working in bypass	NA				
AI_CORE	ICDF and uvm	AI_CORE__DP__1	The IFDW -> MVM path is working	NA				
AI_CORE	{ICDF} and UVM	AI_CORE__DP__3	The IFD -> DPU -> ODR (MVM) path is working in bypass	NA				
AI_CORE	{ICDF} and UVM	AI_CORE__DP__4	The IFD -> DWPU -> IAU/DPU -> ODR path is working in bypass	NA				
AI_CORE	{ICDF} and UVM	AI_CORE__DP__5	The IFD -> DPU -> ODR (DWPU) path is working in bypass	NA				
AI_CORE	ICDF and UVM	AI_CORE__DP__6	All CMD FIFOs are working (pushing command)	NA				
AI_CORE	UVM	AI_CORE__DP__9	All Datapath Descr Memories are accessible (check range).Writes to and reads from the instruction memories of the modules that have one. Checks access to the first and the last address (i.e. beginning and end) of the instruction memory. 	Group	ai_core_top_access_test,descr_mem_access_cg			
AI_CORE	UVM	AI_CORE__DP__10	All Datapath Descr Memories can be written to while the datapath is active (given accessed memory regions are not overlapping)	Group	ai_core_all_descriptor_mem_write_datapath_alive_test,ai_core_all_descriptor_mem_write_datapath_alive_cg			
AI_CORE	UVM	AI_CORE__DP__11	MVM can be programmed while executing				Present in mvm block level. Should bring to top level.	
AI_CORE	UVM	AI_CORE__DP__12	DWPU and MVM datapaths can be concurrnetly active	Group	ai_core_dwpu_mvm_active_test, ai_core_dwpu_mvm_active_cg			
AI_CORE	UVM	AI_CORE__DP__13	DWPU and MVM datapaths can be concurrently active while MVM is beeing reprogrammed	Group	ai_core_dwpu_mvm_active_while_mvm_reprogrammed,ai_core_dwpu_mvm_active_while_mvm_reprogrammed_cg			
AI_CORE_TOKEN	{ICDF} ,UVM	AI_CORE__DP__14	All units can issue a software token	test.percent_pass	ai_core_top_ifd_odr_token_chain_test, ai_core_top_swep_token_for_mvm_test , ai_core_top_swep_token_for_dwpu_test, ai_core_top_swep_token_for_ddpu_test, ai_core_top_swep_token_for_mdpu_test			
AI_CORE_TOKEN	UVM	AI_CORE__DP__15	Token mechanism works to prevent MVM programming and exeuction hazards	NA	ai_core_mvm_random_matrix_multiplication_token_test.sv		 Covered in mvm block. Should bring to top	
AI_CORE_TOKEN	UVM	AI_CORE__DP__16	IFD/ODR Token mechanism works to prevent memory hazards	NA	ai_core_ls_tkn_mgr_swep_* on LS environment		Covered in LS.Should bring to top	
AI_CORE_TOKEN	UVM	AI_CORE__DP__17	All units can have their commands gated by a software token	NA	ai_core_top_ifd_odr_token_chain_test, ai_core_top_swep_token_for_mvm_test , ai_core_top_swep_token_for_dwpu_test, ai_core_top_swep_token_for_ddpu_test, ai_core_top_swep_token_for_mdpu_test			
AI_CORE	ICDF	AI_CORE__DP__18	All VTRSP modes are working for odr and IFDW	NA			Update test names  checking in dmc_l1	
AI_CORE	{ICDF}	AI_CORE__DP__19	Compression unit is working in IFDW	NA			Update test names. Checking in dmc_l1	
AI_CORE	ICDF	AI_CORE__DP__20	All units confirm that they are working with their instructions not placed at address 0 in descriptor memory	NA			Update test names	
AI_CORE	ICDF and UVM	AI_CORE__DP__21	IFD and ODR can access L2	test.percent_pass	ai_core_accessing_l2_mem_test		Corresponding fiat test - test_dp_l2_feed_drain	
AI_CORE	ICDF	AI_CORE__DP__22	Verify that Squeezenet can run on the AI core	NA				
AI_CORE	{ICDF}	AI_CORE__DP__23	Verify that Resnet15 & 50 can run on the AI core	NA				
AI_CORE	ICDF	AI_CORE__DP__24	Verify that Mobilenetv2 can run on the AI core	NA				
AI_CORE	UVM	TRITON__AI_CORE_0__CONN__0	All sideband signals of this ai_core are correctly connected	Group	ai_core_top_power_mode,ai_core_pvt_random_test,ai_core_l1_lc_ifds_dlock_test,ai_core_lp_dlock_test,ai_core_hp_dlock_test,ai_core_dlock_multiple_slaves_test,ai_core_sideband_signals_cg		Should be on europa top level ??	
AI_CORE		TRITON__AI_CORE_0__DMA__0	This ai_core subsystem generates high-bandwidth traffic to all other subsystems using the `ai_core_infra_dma`	test.percent_pass			Should be on europa top level ??	
AI_CORE		TRITON__AI_CORE_0__CTRL__0	This ai_core subsystem generates control traffic (uint8, uint16, uint32 and uint64 transactions) to the `sys_ctrl` SPM, the L2, the `ai_core` SPM, mailbox and L1 memories	test.percent_pass			Should be on europa top level ??	
AI_CORE		TRITON__AI_CORE_0__BOOT__0	This ai_core subsystem should boot from an internal memory (internal to this ai-core subsystem, such as it's SPM or L1)	test.percent_pass			Should be on europa top level ??	
AI_CORE		TRITON__AI_CORE_0__BOOT__1	This ai_core subsystem should boot from an external memory (such as the sys_ctrl's SPM, L2 or DDR)	test.percent_pass			Should be on europa top level ??	
AI_CORE	ICDF	TRITON__AI_CORE_0__BOOT__2	This ai_core subsystem should run the full ai-core firmware regression at toplevel. These are the tests with the SIM_AI_CORE flag in the sw/CMakeLists.txt file	NA			Should be on europa top level ??	
AI_CORE	UVM	AI_CORE_AXI_ACCESS_0	Access through NOC AXI master and cross all the 4k boundaries available on address range and receive SLV_ERR on the response (for reads and writes). For example: Send an incremental burst read/write starting on address 0xFFE8 with a burst length of 4 words.	test.percent_pass	ai_core_top_4k_boundary_crossing		test for all possible 4K boundaries	
AI_CORE	UVM	AI_CORE_AXI_ACCESS_0	Access through Core Ctrl AXI master and cross all the 4k boundaries available on address range and receive SLV_ERR on the response (for reads and writes). For example: Send an incremental burst read/write starting on address 0xFFE8 with a burst length of 4 words.	test.percent_pass	ai_core_top_core_ctrl_4k_boundary_crossing		test for all possible 4K boundaries	
AI_CORE_RAL	UVM	AI_CORE_RAL__0	NOC master - ral bit bash testcase	test.percent_pass	"ai_core_top_ral_bit_bash_test



"			
AI_CORE_RAL	UVM	AI_CORE_RAL__1	AI core control master (CVA6V) -ral bit bash test	test.percent_pass	ai_core_top_core_ctrl_ral_bit_bash_test			
AI_CORE_RAL	UVM	AI_CORE_RAL__2	NOC master - hardware reset bit bash test	test.percent_pass	ai_core_top_ral_hw_rst_test			
AI_CORE_RAL	UVM	AI_CORE_RAL__3	AI core control master (CVA6V) - hardware reset bit bash test	test.percent_pass	"
ai_core_top_core_ctrl_ral_hw_rst_test"			
AI_CORE_RAL	UVM	AI_CORE_RAL__4	NOC master - read write to all the registers 	test.percent_pass	ai_core_top_register_test			
AI_CORE_RAL	UVM	AI_CORE_RAL__5	AI core control master - read write to all the registers	test.percent_pass	ai_core_top_core_ctrl_register_test			
AI_CORE_RAL	UVM	AI_CORE_RAL__6	checking the other cores register accesses are happening properly from aicore0,the transaction will reach the noc lp slave. Check whethe that is coming properly.	test.percent_pass	ai_core_top_core_ctrl_other_core_register_access_test			
								
AI_CORE_THROTTLE	UVM	AI_CORE_THROTTLE__0	When Throttle unit is disabled (default mode), check that MVM can run at full utilization, e.g. `avg_utils_i = 64`	test.percent_pass	ai_core_top_throttle_non_static_mvm_test			
AI_CORE_THROTTLE	UVM	AI_CORE_THROTTLE__1	When Throttle unit is in `max limit mode`, check that MVM average utilization (`avg_utils_i`) is not exceeding specified value (`max_limit_i`). Test values for `max_limit_i`: 1,2,4,16,32,64. Test that value can be changed during MVM operation.	test.percent_pass	ai_core_top_max_limit_throttle_test			
AI_CORE_THROTTLE	UVM	AI_CORE_THROTTLE__2	When Throttle unit is in 'Hard throttle mode', check that (a) the MVM average utilization (`avg_utils_i`) does never exceed `max_limit_i` irrespective of the throttle input and (b) that the MVM average utilization (`avg_utils_i`) does not exceed `throttle_limit` when the throttle is enagaged. Test value for `throttle_limit` in 0,16,32,64, with a `max_limit_i` >=  `throttle_limit`.	test.percent_pass	ai_core_top_hard_throttle_verif_test			
