Name,Type,Req_id,Prioirity,Description,Measure,Testcase,Covergroup if applicable,From CVA6 Vplan
fencei fetching,FENCEI.Fetching,CVA6V_008,4,Instruction data for the next PC must be fetched after the fence.i instruction has executed (because only then can data-side stores have completed and caches have been updated). Check that after a fence.i instruction retires then instr-side obi fetches the next instruction to be executed.,Assertion (uvma_cvxif_assert adaptation),,,Yes
fencei stores visible scenario 1,FENCEI.StoresVisible,CVA6V_008,4,"After a fence.i instruction has been executed, all preceding store instructions shall have their effects visible to the instruction fetch of the instructions that are to be executed after the fence.i instruction. Do a fencei, but right before the fencei do a store to the instruction following the fencei, then see that the newly stored value is executed instead of the old instruction (e.g. change addi to use a different immediate).",Directed Test pref. in UVM,,,Yes
fencei stores visible scenario 2,FENCEI.StoresVisible,CVA6V_008,4,"After a fence.i instruction has been executed, all preceding store instructions shall have their effects visible to the instruction fetch of the instructions that are to be executed after the fence.i instruction. Do a fencei followed by any instruction, but let the environment detect when the fencei is being executed and change the memory holding the next instruction, then see that the old instruction is not executed.",Directed Test pref. in UVM,,,Yes
fencei stores visible scenario 3,FENCEI.StoresVisible,CVA6V_008,4,"After a fence.i instruction has been executed, all preceding store instructions shall have their effects visible to the instruction fetch of the instructions that are to be executed after the fence.i instruction. Let the instruction right before a fence.i write a different instruction to the address following the fence.i, then observe that the written instruction is executed instead of the original one and that no side-effects (csr updates or otherwise) occur (can possibly mix 16bit/32bit instructions to force a noticable difference).",Directed Test pref. in UVM,,,Yes
fencei stores visible scenario 4,FENCEI.StoresVisible,CVA6V_008,4,"After a fence.i instruction has been executed, all preceding store instructions shall have their effects visible to the instruction fetch of the instructions that are to be executed after the fence.i instruction. Check that after having read one value from an address, then after storing a value to that same address, if executing that address then the value shall always be that which was written (should work well in both sim/formal).",Directed Test pref. in UVM,,,Yes
fencei req high,FENCEI.ExternalHandshake,CVA6V_008,4,"When executing a fence.i instruction, fencei_flush_req_o shall rise sometime before executing the next instruction.",Assertion (uvmt_cv32e40x_fencei_assert adaptation),,,Yes
fencei req wait lsu,FENCEI.ExternalHandshake,CVA6V_008,4,"When executing a fence.i instruction, if there is an ongoing store instruction that has not completed (data_rvalid_i clocked in as 1), then fencei_flush_req_o shall be low. Make sure a store instruction is run right before a fence.i, and (possibly using obi stalls) ensure that the fence.i is pending retirement but holds off until the store's data_rvalid_i is clocked in and that fencei_flush_req_o was low until this point where it now goes high.",Directed Test pref. in UVM + Assertion  (uvmt_cv32e40x_fencei_assert adaptation),,,Yes
fencei req wait writebuffer,FENCEI.ExternalHandshake,CVA6V_008,4,"When executing a fence.i instruction, if the write buffer is not empty, then fencei_flush_req_o shall be low until the write buffer has been emptied and the corresponding data_rvalid_i have been clocked in as 1. Fill up the write buffer prior to executing a fence.i and ensure that fencei_flush_req_o holds off going high until the write buffer to has been emptied.",Directed Test pref. in UVM + Assertion  (uvmt_cv32e40x_fencei_assert adaptation),,,Yes
fencei req wait X interface,FENCEI.ExternalHandshake,CVA6V_008,4,"When executing a fence.i instruction, if the X interface is busy with any store operations, then fencei_flush_req_o shall be low until all the store operations are done. Issue one or more store instructions that uses the X interface and ensure that fencei_flush_req_o waits until the stores have all completed before going high.",Directed Test pref. in UVM + Assertion  (uvmt_cv32e40x_fencei_assert adaptation),,,Yes
fencei req low,FENCEI.ExternalHandshake,CVA6V_008,4,"When fencei_flush_req_o is high, it shall stay high until fencei_flush_req_o and fencei_flush_ack_i has been sampled high simultaneously, and then it shall go low.",Directed Test pref. in UVM + Assertion  (uvmt_cv32e40x_fencei_assert adaptation),,,Yes
fencei ack change,FENCEI.ExternalHandshake,CVA6V_008,4,"fencei_flush_ack_i is allowed to change freely on any clock cycle: It can be permanently high, go high without fence.i and retract, go high at the same cycle as the req, it can delay arbitrarily after req and then go high, etc. Drive ack to test all permutations of rising/falling before/after/on req, acking without req, retracting an early ack, delaying ack after req, etc.",Functional Coverage,,Memory_Ordering,Yes
fencei ack with hold,FENCEI.ExternalHandshake,CVA6V_008,4,"If req is high, but ack never comes, then the core keeps on stalling and the fence.i is blocked from completing. Upon a req, try witholding ack for a long time and see that the fence.i can be stalled arbitrarily long (should have covers for ack delays of at least {[0:5]}).",Functional Coverage,,Memory_Ordering,Yes
fencei branch initiated,FENCEI.ExternalHandshake,CVA6V_008,4,"After req and ack has been sampled simultaneously high and when req is low again, then the core takes a branch to the instruction after the fence.i instruction. Check that the branch is taken at the point after req and ack has been simultaneously high.",Functional Coverage,,Memory_Ordering,Yes
fencei shadowing branch,FENCEI.ExternalHandshake,CVA6V_008,4,"If the fence.i ends up not retiring because it was preceeded by a taken branch or a jump, then the fencei_flush_req_o shall not go high. Take a branch or do a jump to skip a fence.i, and ensure that fencei_flush_req_o doesn't go high.",Directed Test pref. in UVM + Assertion  (uvmt_cv32e40x_fencei_assert adaptation),,,Yes
fencei multicycle,FENCEI.Multicycle,CVA6V_008,4,"Given zero stalls on neither instr-side and data-side obi nor on fencei_flush_ack_i, then the execution of fence.i takes a fixed number of cycles. Check that, given ideal conditions, the cycle count of fence.i is as expected.",Assertion (uvmt_cv32e40x_fencei_assert adaptation),,,Yes
fencei stores complete,FENCEI.StoresComplete,CVA6V_008,4,"Any store instruction that is successfully executed before a fence.i will fully complete and have its effect visible (this is not about syncronization with instruction fetch, but rather seeing that the stores are not aborted). Check that all stores (either to next pc or other places) preceding a fence.i will complete on the bus (excluding exceptions/interrupts/etc) and be readable afterwards (particularly, ensure that the write buffer isn't just purged).",Directed Test pref. in UVM,,,Yes
fencei flush,FENCEI.FLUSH,CVA6V_008,4,"When fence.i is executed, then any prefetched instructions shall be flushed; meaning that pipeline stages are flushed, prefetcher is flushed, write buffer is flushed, and data_req_o is eventually supressed. Check that a fence.i will cause flushing of the pipeline, prefetcher, write buffer, and data_req_o.",Functional Coverage,,Memory_Ordering,Yes
fencei unused fields,FENCEI.UnusedFields,CVA6V_008,4,"imm[11:0], rs1, rd are reserved for future extensions, and implementations shall ignore them. Try giving random values in those fields and see that all else works as expected",Functional Coverage,,Memory_Ordering,Yes
branch table buffer,FRONTEND.PCGenStage,CVA6V_003,5,"If instruction is a JALR and BTB (Branch Target Buffer) returns a valid address, next PC is predicted by BTB. Else JALR is not considered as a control flow instruction, which will generate a mispredict. Execute test with JALR instructions. Functional cov: JALR is executed and BTB output is not valid. ",Functional Coverage,,Control_Flow,Yes
